Date,In lb,In Kg,Amount $
2022-02-13,0.054674685620558,0.0246036085292511,1
2022-02-14,0.054704209950793,0.024616894477856848,1
2022-02-15,0.055073237885463,0.02478295704845835,1
2022-02-16,0.055207942636514,0.024843574186431298,1
2022-02-17,0.055375760929718,0.0249190924183731,1
2022-02-18,0.054815342465753,0.024666904109588852,1
2022-02-19,0.054945054945055,0.024725274725274752,1
2022-02-20,0.054945054945055,0.024725274725274752,1
2022-02-21,0.05498021978022,0.024741098901099,1
2022-02-22,0.05499010989011,0.024745549450549503,1
2022-02-23,0.054128246753247,0.02435771103896115,1
2022-02-24,0.054014578833693,0.02430656047516185,1
2022-02-25,0.054747673782157,0.02463645320197065,1
2022-02-26,0.055401662049861,0.024930747922437452,1
2022-02-27,0.055401662049861,0.024930747922437452,1
2022-02-28,0.056836363636364,0.0255763636363638,1
2022-03-01,0.056615950226244,0.0254771776018098,1
2022-03-02,0.05482301369863,0.0246703561643835,1
2022-03-03,0.053730934479055,0.02417892051557475,1
2022-03-04,0.052844162704702,0.023779873217115898,1
2022-03-05,0.051652892561983,0.02324380165289235,1
2022-03-06,0.051652892561983,0.02324380165289235,1
2022-03-07,0.051688533057851,0.02325983987603295,1
2022-03-08,0.052034841393656,0.023415678627145203,1
2022-03-09,0.051609076843734,0.023224084579680303,1
2022-03-10,0.052605678233438,0.023672555205047102,1
2022-03-11,0.052335426478284,0.023550941915227802,1
2022-03-12,0.052002080083203,0.02340093603744135,1
2022-03-13,0.052002080083203,0.02340093603744135,1
2022-03-14,0.052040041601664,0.0234180187207488,1
2022-03-15,0.052431639601886,0.023594237820848702,1
2022-03-16,0.053362133333333,0.02401295999999985,1
2022-03-17,0.053926724137931,0.024267025862068952,1
2022-03-18,0.053489839572193,0.02407042780748685,1
2022-03-19,0.052742616033755,0.02373417721518975,1
2022-03-20,0.052742616033755,0.02373417721518975,1
2022-03-21,0.052752637130802,0.0237386867088609,1
2022-03-22,0.051941878567722,0.0233738453554749,1
2022-03-23,0.052200417536534,0.0234901878914403,1
2022-03-24,0.052041081643266,0.0234184867394697,1
2022-03-25,0.052028601144046,0.0234128705148207,1
2022-03-26,0.05091649694501,0.0229124236252545,1
2022-03-27,0.05091649694501,0.0229124236252545,1
2022-03-28,0.050936863543788,0.0229215885947046,1
2022-03-29,0.051003567787971,0.022951605504586952,1
2022-03-30,0.052322007318348,0.0235449032932566,1
2022-03-31,0.051355749486653,0.023110087268993853,1
2022-04-01,0.051279713114754,0.023075870901639303,1
2022-04-02,0.05162622612287,0.023231801755291503,1
2022-04-03,0.05162622612287,0.023231801755291503,1
2022-04-04,0.051674238513165,0.02325340733092425,1
2022-04-05,0.05103059663437,0.0229637684854665,1
2022-04-06,0.05096841569027,0.0229357870606215,1
2022-04-07,0.050979102956167,0.022940596330275148,1
2022-04-09,0.049164208456244,0.0221238938053098,1
2022-04-10,0.049164208456244,0.0221238938053098,1
2022-04-11,0.049190265486726,0.022135619469026698,1
2022-04-12,0.049291625615764,0.022181231527093802,1
2022-04-13,4.9436974789916,2.22466386554622,1
2022-04-14,4.9729125248509,2.237810636182905,1
2022-04-15,4.9721669980119,2.237475149105355,1
